RayMan Pro 2.3 beta  � 1999 - 2014 
Meteorological Institute, University of Freiburg, Germany

date      	day of	time	Latit.	Long.	Altit.	UTC	sunr.	sunset	SDmax	SDact	elev.	Gmax	Gact	Sact	Dact	A	E	Ts	Ta	VP	RH	v	C	Tmrt	height	weight	age	sex	cloth.	activ.	PMV	PET	SET*	UTCI	
d.m.yyyy   	year	h:mm	캮	캞	m	h	h:mm	h:mm	min	min	�	W/m�	W/m�	W/m�	W/m�	W/m�	W/m�	캜	캜	hPa	%	m/s	octas	캜	m	kg	a		clo	W		캜	캜	캜	
1.1.2010 	1	0:00	55.83	37.62	148	0.0	6:00	13:07	427	423	-47.5	0.0	0.0	0.0	0.0	246.5	285.5	-6.3	-6.0	3.6	91.9	0.4	8.0	-11.4	1.8	75.0	35	m	0.90	80.0	-4.9	-10.5	-6.4	-7.4	
1.1.2010 	1	3:00	55.83	37.62	148	0.0	6:00	13:07	427	423	-23.4	0.0	0.0	0.0	0.0	227.7	267.7	-10.5	-9.2	2.8	91.6	0.4	8.0	-16.1	1.8	75.0	35	m	0.90	80.0	-5.6	-14.2	-10.1	-11.4	
1.1.2010 	1	6:00	55.83	37.62	148	0.0	6:00	13:07	427	423	-0.8	0.0	0.0	0.0	0.0	206.1	248.0	-15.4	-11.5	2.3	90.0	0.4	7.2	-21.6	1.8	75.0	35	m	0.90	80.0	-6.1	-17.5	-13.7	-14.9	
1.1.2010 	1	9:00	55.83	37.62	148	0.0	6:00	13:07	427	423	10.8	179.7	76.2	30.2	46.0	204.4	267.7	-10.2	-10.1	2.4	85.1	0.7	6.4	-9.0	1.8	75.0	35	m	0.90	80.0	-6.8	-13.8	-11.4	-11.3	
1.1.2010 	1	12:00	55.83	37.62	148	0.0	6:00	13:07	427	423	5.2	68.9	34.2	17.0	17.2	203.3	267.7	-10.2	-8.9	2.6	82.6	0.7	5.6	-15.0	1.8	75.0	35	m	0.90	80.0	-6.8	-14.6	-12.9	-12.5	
1.1.2010 	1	15:00	55.83	37.62	148	0.0	6:00	13:07	427	423	-14.4	0.0	0.0	0.0	0.0	178.6	243.0	-16.4	-11.4	2.2	85.0	0.7	2.4	-26.2	1.8	75.0	35	m	0.90	80.0	-7.7	-19.3	-18.9	-17.8	
1.1.2010 	1	18:00	55.83	37.62	148	0.0	6:00	13:07	427	423	-39.2	0.0	0.0	0.0	0.0	171.5	224.3	-21.6	-14.4	1.8	89.7	0.4	4.0	-30.1	1.8	75.0	35	m	0.90	80.0	-6.8	-22.0	-18.8	-19.5	
1.1.2010 	1	21:00	55.83	37.62	148	0.0	6:00	13:07	427	423	-56.6	0.0	0.0	0.0	0.0	158.5	218.5	-23.1	-16.2	1.5	89.6	0.4	0.0	-33.0	1.8	75.0	35	m	0.90	80.0	-7.2	-24.0	-21.0	-21.5	
2.1.2010 	2	0:00	55.83	37.62	148	0.0	5:59	13:08	428	425	-47.5	0.0	0.0	0.0	0.0	203.5	249.4	-15.0	-13.7	1.9	89.8	0.7	8.0	-21.8	1.8	75.0	35	m	0.90	80.0	-7.9	-20.0	-18.9	-18.1	
2.1.2010 	2	3:00	55.83	37.62	148	0.0	5:59	13:08	428	425	-23.4	0.0	0.0	0.0	0.0	215.6	262.5	-11.7	-11.6	2.4	95.3	0.7	8.0	-18.3	1.8	75.0	35	m	0.90	80.0	-7.4	-17.5	-16.0	-15.5	
2.1.2010 	2	6:00	55.83	37.62	148	0.0	5:59	13:08	428	425	-0.8	0.0	0.0	0.0	0.0	213.0	262.0	-11.8	-12.1	2.3	95.2	0.7	8.0	-18.8	1.8	75.0	35	m	0.90	80.0	-7.5	-18.0	-16.6	-16.0	
2.1.2010 	2	9:00	55.83	37.62	148	0.0	5:59	13:08	428	425	10.9	16.4	2.3	0.0	2.3	213.1	267.4	-10.4	-12.0	2.3	93.7	0.7	8.0	-17.6	1.8	75.0	35	m	0.90	80.0	-7.4	-17.6	-16.0	-15.6	
2.1.2010 	2	12:00	55.83	37.62	148	0.0	5:59	13:08	428	425	5.3	71.2	19.9	0.0	19.9	211.1	266.9	-10.5	-12.2	2.2	89.9	0.7	8.0	-14.6	1.8	75.0	35	m	0.90	80.0	-7.4	-17.0	-15.0	-14.8	
2.1.2010 	2	15:00	55.83	37.62	148	0.0	5:59	13:08	428	425	-14.3	0.0	0.0	0.0	0.0	205.0	258.1	-12.7	-13.4	2.0	89.8	1.4	8.0	-20.4	1.8	75.0	35	m	0.90	80.0	-8.5	-20.5	-23.0	-21.7	
2.1.2010 	2	18:00	55.83	37.62	148	0.0	5:59	13:08	428	425	-39.1	0.0	0.0	0.0	0.0	198.5	252.9	-14.0	-14.5	1.7	84.6	1.4	8.0	-22.0	1.8	75.0	35	m	0.90	80.0	-8.8	-21.7	-24.6	-23.0	
2.1.2010 	2	21:00	55.83	37.62	148	0.0	5:59	13:08	428	425	-56.5	0.0	0.0	0.0	0.0	201.1	256.8	-13.0	-14.2	1.8	89.8	1.4	8.0	-21.1	1.8	75.0	35	m	0.90	80.0	-8.7	-21.3	-24.0	-22.5	
3.1.2010 	3	0:00	55.83	37.62	148	0.0	5:59	13:09	430	425	-47.5	0.0	0.0	0.0	0.0	196.6	245.4	-16.0	-14.9	1.6	84.5	0.7	8.0	-23.3	1.8	75.0	35	m	0.90	80.0	-8.1	-21.3	-20.4	-19.5	
3.1.2010 	3	3:00	55.83	37.62	148	0.0	5:59	13:09	430	425	-23.4	0.0	0.0	0.0	0.0	188.1	239.1	-17.6	-16.6	1.3	80.1	1.4	8.0	-25.4	1.8	75.0	35	m	0.90	80.0	-9.3	-24.2	-27.7	-25.4	
3.1.2010 	3	6:00	55.83	37.62	148	0.0	5:59	13:09	430	425	-0.8	0.0	0.0	0.0	0.0	160.5	230.6	-19.6	-17.7	1.2	79.9	1.4	4.8	-30.8	1.8	75.0	35	m	0.90	80.0	-9.6	-26.1	-30.4	-27.5	
3.1.2010 	3	9:00	55.83	37.62	148	0.0	5:59	13:09	430	425	11.0	183.2	90.9	46.3	44.5	162.4	227.2	-20.6	-18.1	1.1	75.0	1.4	5.6	-18.9	1.8	75.0	35	m	0.90	80.0	-9.4	-24.2	-26.7	-24.8	
3.1.2010 	3	12:00	55.83	37.62	148	0.0	5:59	13:09	430	425	5.5	73.7	47.1	30.2	16.9	155.3	226.9	-20.6	-18.0	1.1	74.4	1.4	4.0	-26.5	1.8	75.0	35	m	0.90	80.0	-9.6	-25.6	-29.3	-26.7	
3.1.2010 	3	15:00	55.83	37.62	148	0.0	5:59	13:09	430	425	-14.2	0.0	0.0	0.0	0.0	155.8	224.2	-21.4	-18.8	1.0	74.9	1.4	4.8	-32.6	1.8	75.0	35	m	0.90	80.0	-9.9	-27.3	-32.1	-28.7	
3.1.2010 	3	18:00	55.83	37.62	148	0.0	5:59	13:09	430	425	-39.0	0.0	0.0	0.0	0.0	155.2	220.7	-22.4	-19.0	1.0	74.9	2.0	4.8	-33.2	1.8	75.0	35	m	0.90	80.0	-10.4	-28.0	-35.3	-32.5	
3.1.2010 	3	21:00	55.83	37.62	148	0.0	5:59	13:09	430	425	-56.4	0.0	0.0	0.0	0.0	141.6	207.7	-26.1	-20.8	0.9	80.1	0.7	0.0	-37.6	1.8	75.0	35	m	0.90	80.0	-9.6	-29.2	-30.0	-27.1	
